Restaurant ,Category,Item_Name ,Item_Description,Calories,Carbs,Fat,Protein,Fiber,TransFat,Sodium,Sugar
Starbucks,Beverages,"Milk, 2%, Venti","Milk, 2%, Kids' Drinks & Others, Venti, 24 fl oz",370,36,15,24,0,0,0,36
Golden Corral,Entrees,Mandarin Orange Pork,"Mandarin Orange Pork, Hot Buffet",380,30,18,24,0,0,1110,24
KFC,Sandwiches,Honey BBQ Sandwich,"Honey BBQ Sandwich, Sandwiches",320,47,3.5,24,3,0,770,21
Quiznos,Sandwiches,Harvest Chicken Wrap,Harvest Chicken Wrap w/out Dressing,540,76,16,24,6,0,1030,19
Dairy Queen,Burgers,1/4 lb Crispy Onion BBQ Grillburger,1/4 lb Crispy Onion BBQ Grillburger,580,57,29,24,3,1,1110,18
California Pizza Kitchen,Salads,"Field Greens w/ Grilled Shrimp, Half","Field Greens w/ Grilled Shrimp, Half",500,29,30,24,6,0,521,16
Denny's,Entrees,Fit Slam,"Fit Slam, Slams",360,46,10,24,5,0,820,16
Friendly's,Soup,"Pumpkin Soup, Bread Bowl","Pumpkin Soup, Bread Bowl",810,139,18,24,6,0,1470,13
California Pizza Kitchen,Salads,"The Original BBQ Chicken Chopped, Half","The Original BBQ Chicken Chopped Salad, Half",590,51,32,24,7,0,891,12
Denny's,Entrees,Everyday Value Slam,"Everyday Value Slam, Value Menu",660,61,31,24,2,0,1780,12
Dairy Queen,Burgers,1/4 lb Fajita Ranch Grillburger,1/4 lb Fajita Ranch Grillburger,600,49,33,24,4,1,790,11
Popeyes,Sandwiches,Naked BBQ Chicken Po' Boy,"Naked BBQ Chicken Po' Boy, Sandwiches & Wraps & Louisiana Leaux",340,49,7,24,2,0,1030,11
Tim Hortons,Sandwiches,Bagel BELT w/ Sausage,Bagel BELT w/ Sausage,590,60,28,24,3,0,1230,10
McDonald's,Sandwiches,Premium Crispy Chicken Classic Sandwich,Premium Crispy Chicken Classic Sandwich,510,55,22,24,3,0,990,10
Carl's Jr.,Burgers,"Famous Star, Trim It Menu","Famous Star, Trim It Menu",430,46,18,24,3,0.5,610,10
Arby's,Sandwiches,Turkey 'n Cheddar Classic,Turkey 'n Cheddar Classic,380,46,11,24,2,0,1350,10
IHOP,Entrees,Simple & Fit Whole Wheat Pancakes w/ Blueberries Combo,"Simple & Fit Whole Wheat Pancakes w/ Blueberries Combo, Whole Wheat Breakfast",460,63,12,24,6,0,1220,9
Quiznos,Sandwiches,"California Chicken Club on Wheat, Small","California Chicken Club on Wheat, Small",505,38,23.5,24,4,0,1290,9
Arby's,Sandwiches,'Shroom & Swiss Sandwich,'Shroom & Swiss Sandwich,510,49,25,24,3,0.5,2350,9
Steak 'N Shake,Sandwiches,Turkey Club Sandwich,Turkey Club Sandwich w/out Fries,420,45,16,24,2,0,1270,9
Einstein Bros,Soup,"Turkey Chili, Bowl","Turkey Chili, Bowl",280,28,8,24,8,0,1430,8
Dairy Queen,Sandwiches,Crispy Chicken Sandwich,Crispy Chicken Sandwich,600,59,30,24,7,0,1250,8
Burger King,Burgers,BK Veggie Burger w/ Cheese,BK Veggie Burger w/ Cheese,450,44,20,24,7,0,1250,8
Quiznos,Soup,Tomato Bisque Soup in a Bread Bowl,Tomato Bisque Soup in a Bread Bowl,690,106,22,24,5,0,1780,8
Dunkin' Donuts,Sandwiches,"Bacon, Egg & Cheese on a Plain Bagel","Bacon, Egg & Cheese on a Plain Bagel, Breakfast Sandwiches",520,67,17,24,4,0,1310,8
Friendly's,Salads,Caesar Salad w/ Dressing,"Caesar Salad w/ Dressing, Entree Salads",720,33,56,24,4,0,1820,8
Dominos,Pizza,"Brooklyn Style Crust, Fiery Hawaiian w/ Hot Sauce Legends, Extra Large, 16''","Brooklyn Style Crust, Fiery Hawaiian w/ Hot Sauce Legends, Extra Large, 16''",540,52,26,24,3,0,1730,8
Hardee's,Burgers,Little Thick Cheeseburger,Little Thick Cheeseburger,420,34,23,24,3,0,1160,8
Tim Hortons,Sandwiches,"Breakfast Sandwich on a Plain Bagel w/ Sausage, Egg & Cheese","Breakfast Sandwich on a Plain Bagel w/ Sausage, Egg & Cheese",560,56,28,24,2,0,1190,8
Dominos,Pizza,"Brooklyn Style Crust, Honolulu Hawaiian Legends, Extra Large, 16''","Brooklyn Style Crust, Honolulu Hawaiian Legends, Extra Large, 16''",530,50,26,24,2,0,1290,8
Dairy Queen,Burgers,Mushroom Swiss Grillburger,Mushroom Swiss Grillburger,570,39,35,24,2,1,820,8
Jason's Deli,Sandwiches,"Turkey & Cheese Kidwich on White, Kids","Turkey & Cheese Kidwich on White, Kids",370,42,10,24,1,0,1360,8
Hardee's,Sandwiches,"Charbroiled Chicken Club, Low Carb It","Charbroiled Chicken Club, Low Carb It",340,13,22,24,1,0,1230,8
Subway,Sandwiches,"Western Egg & Cheese Omelet Sandwich, 6""","Western Egg & Cheese Omelet Sandwich, Breakfast, 6""",390,46,13,24,5,0,1150,7
Subway,Sandwiches,"Black Forest Ham, Egg & Cheese, 6""","=""Black Forest Ham, Egg & Cheese Omelet Sandwich on 9-Grain Wheat Bread, Breakfast, 6""""",390,45,13,24,5,0,1150,7
Subway,Sandwiches,"Roast Beef, 6''","Roast Beef on 9-Grain Wheat Bread w/out Cheese or Sauce, 6''",320,45,5,24,5,0,700,7
Pizza Hut,Pizza,"Pepperoni & Mushroom, 6"" Personal Pan Pizza","Pepperoni & Mushroom, 6"" Personal Pan Pizza",570,68,23,24,4,0,1250,7
California Pizza Kitchen,Entrees,"Curly Mac 'n' Cheese, Kids","Curly Mac 'n' Cheese, Kids",960,79,57,24,3,0,699,7
McDonald's,Sandwiches,"Bacon, Egg & Cheese Bagel","Bacon, Egg & Cheese Bagel, Breakfast",570,56,27,24,3,0.5,1230,7
Jason's Deli,Entrees,"""Lighter Portion"" Penne Pasta w/ Meatballs","""Lighter Portion"" Penne Pasta w/ Meatballs w/out Bread, Pasta",550,48,29,24,3,0,1740,7
Quiznos,Sandwiches,"California Chicken Club on Garlic Focaccia, Small","California Chicken Club on Garlic Focaccia, Small",520,41,24.5,24,3,0,1270,7
Quiznos,Sandwiches,"California Chicken Club on Rosemary Parmesan, Small","California Chicken Club on Rosemary Parmesan, Small",505,37,24,24,3,0,1250,7
Hardee's,Burgers,1/4 lb Little Thickburger,1/4 lb Little Thickburger,570,35,39,24,3,0,1190,7
Steak 'N Shake,Sandwiches,Spicy Chicken Sandwich,Spicy Chicken Sandwich w/out Fries,490,51,21,24,2,0,1220,7
Arby's,Sandwiches,"Sausage, Egg & Cheese Sourdough","Sausage, Egg & Cheese Sourdough, Breakfast",610,46,37,24,2,0,1450,7
Arby's,Sandwiches,"Bacon, Egg & Cheese Sourdough","Bacon, Egg & Cheese Sourdough, Breakfast",460,44,21,24,2,0,1140,7
Denny's,Entrees,Fried Seafood Platter,"Fried Seafood Platter, Value Menu",1180,108,71,24,11,0,1140,6
Taco Bell,Sandwiches,"Volcano Burrito, Beef","Volcano Burrito, Beef",790,80,41,24,8,1,1630,6
Quiznos,Soup,Clam Chowder in a Bread Bowl,Clam Chowder in a Bread Bowl,730,108,23,24,5,0,1990,6
Quiznos,Sandwiches,"Turkey Bacon Guacamole Sub Base, Small","Turkey Bacon Guacamole Sub Base w/out Cheese or Dressing; Choice of: Italian White, Artisan Wheat, Rosemary Parmesan or Roasted Garlic Focaccia Bread, Small",420,45,17,24,5,0,1390,6
Subway,Sandwiches,"Western Egg White & Cheese Omelet Sandwich, 6""","Western Egg White & Cheese Omelet Sandwich, Breakfast, 6""",350,46,9,24,4,0,1200,6
Subway,Sandwiches,"Egg White, Cheese & Ham Omelet Sandwich, 6""","Egg White, Cheese & Ham Omelet Sandwich, Breakfast, 6""",350,45,9,24,4,0,1200,6
Jason's Deli,Entrees,"""Lighter Portion"" Chicken Pasta Primo","""Lighter Portion"" Chicken Pasta Primo w/out Bread, Pasta",430,44,18,24,3,0,1550,6
IHOP,Sandwiches,Double BLT,"Double BLT w/out Sides, Soup or Salad",650,40,44,24,2,0,1400,6
Arby's,Sandwiches,Turkey Classic,Turkey Classic,290,38,5,24,2,0,1020,6
Carl's Jr.,Sandwiches,The Low Carb Charbroiled BBQ Chicken Sandwich,"The Low Carb Charbroiled BBQ Chicken Sandwich, Trim It Menu",180,11,4.5,24,0,0,650,6
Five Guys,Fried Potatoes,"Fries, Large","Fries, Large",1474,184,71,24,14,0,213,5
California Pizza Kitchen,Salads,"California Cobb Salad w/ Ranch Dressing, Half","California Cobb Salad w/ Ranch Dressing, Half",480,12,36,24,5,0,842,5
Steak 'N Shake,Burgers,Original Double 'n Cheese Steakburger w/ Fries,Original Double 'n Cheese Steakburger w/ Fries,690,64,36,24,4,1,670,5
Friendly's,Appetizers & Sides,"Mini Mozzarella Sticks, Kids","Mini Mozzarella Sticks; Choice in Kids Meal Level 2: Drink, Entree, Side, Dessert",690,56,41,24,4,0,2090,5
Friendly's,Entrees,Omelette Eggs w/ Homefries & Orange Slice,"Omelette Eggs w/ Homefries & Orange Slice, Breakfast, Build Your Own Breakfast Omelette",530,46,28,24,4,0,790,5
Quiznos,Sandwiches,"Ultimate Turkey Club Base, Small","Ultimate Turkey Club Base w/out Cheese or Dressing; Choice of: Italian White, Artisan Wheat, Rosemary Parmesan or Roasted Garlic Focaccia Bread, Small",380,42,13.5,24,3,0,1380,5
Quiznos,Sandwiches,"Greek Chicken Flatbread w/ Dressing & Cheese, Small","Greek Chicken Flatbread w/ Dressing & Cheese, Small",420,34,21,24,3,0,1340,5
Jason's Deli,Sandwiches,"Hot Dog w/ Chili, Kids","Hot Dog w/ Chili, Kids",410,33,21,24,3,0,1260,5
Quiznos,Sandwiches,"Basil Pesto Chicken Flatbread w/ Dressing & Cheese, Small","Basil Chicken Pesto Flatbread w/ Dressing & Cheese, Small",380,33,16,24,3,0,1020,5
Steak 'N Shake,Sandwiches,Bagel Sandwich w/ Bacon,"Bagel Sandwich w/ Bacon w/out Hash Browns, Breakfast",450,51,16,24,2,0,1200,5
Hardee's,Sandwiches,Frisco Breakfast Sandwich,"Frisco Breakfast Sandwich, Breakfast",440,43,19,24,2,0,1560,5
Culver's,Sandwiches,Beef Pot Roast Sandwich,Beef Pot Roast Sandwich,363,33,16,24,1,1,948,5
Bob Evans,Entrees,Garden Harvest Omelet w/ Bob Evans Egg Lites,"Garden Harvest Omelet w/ Bob Evans Egg Lites, Monterey Jack Cheese, Cheddar Cheese & Hollandaise Sauce, Breakfast",245,12,10,24,1,0,1063,5
Quiznos,Toppings & Ingredients,"Meatballs, for Large Meatball Sub","Meatballs, for Large Meatball Sub",620,17,53,24,7,0.5,1380,4
Jack in the Box,Sandwiches,Chicken Fajita Pita w/ Whole Grain & Fire Roasted Salsa,Chicken Fajita Pita w/ Whole Grain & Fire Roasted Salsa,330,35,11,24,4,0,990,4
Tim Hortons,Sandwiches,Ham & Swiss Sandwich on a Regular White Bun,Ham & Swiss Sandwich on a Regular White Bun,400,48,12,24,3,0,1310,4
Burger King,Sandwiches,Original Chicken Sandwich,Original Chicken Sandwich,630,46,39,24,3,0.5,1390,4
Burger King,Sandwiches,Original Chicken Sandwich,Original Chicken Sandwich w/out Mayo,420,46,16,24,3,0,1210,4
Steak 'N Shake,Sandwiches,Bagel Sandwich w/ Steakburger,"Bagel Sandwich w/ Steakburger, Breakfast",470,51,18,24,2,0.5,920,4
Carl's Jr.,Sandwiches,"Burrito California, Chicken","Burrito California, Chicken",470,45,21,24,2,0,1480,4
Dominos,Pizza,"Hand Tossed Crust, Cali Chicken Bacon Ranch Legends, Extra Large, 16''","Hand Tossed Crust, Cali Chicken Bacon Ranch Legends, Extra Large, 16''",560,44,32,24,2,0,1170,4
Carl's Jr.,Sandwiches,Bacon Bacon Biscuit,Bacon Bacon Biscuit,510,39,29,24,2,0,1520,4
Quiznos,Sandwiches,"Tuna Sandwich on Italian White, Small","Tuna Sandwich on Italian White, Small",550,40,31,24,1,0,960,4
Quiznos,Sandwiches,Bacon & Egg Grilled Flatbread,Bacon & Egg Grilled Flatbread,420,31,23,24,1,0,1070,4
Culver's,Burgers,"Cheddar ButterBurger, Single","Cheddar ButterBurger, Single",421,31,22,24,1,1,580,4
Sonic,Sandwiches,"CroisSonic Breakfast Sandwich w/ Bacon, Egg & Cheese","CroisSonic Breakfast Sandwich w/ Bacon, Egg & Cheese, Breakfast",510,28,39,24,0,0,1480,4
Sonic,Sandwiches,"CroisSonic Breakfast Sandwich w/ Sausage, Egg & Cheese","CroisSonic Breakfast Sandwich w/ Sausage, Egg & Cheese, Breakfast",600,28,49,24,0,0,1420,4
Checker's Drive-In/Rallys,Burgers,1/4 lb Champ Burger w/ Cheese,1/4 lb Champ Burger w/ Cheese,580,33,39,24,4,0,930,3
Jack in the Box,Sandwiches,Chicken Fajita Pita w/ Whole Grain,Chicken Fajita Pita w/ Whole Grain w/out Fire Roasted Salsa,320,33,11,24,4,0,870,3
Krystal,Salads,Crispy Chicken Salad,Crispy Chicken Salad,370,20,21,24,4,0.5,890,3
Dunkin' Donuts,Sandwiches,Ham & Cheese on a French Roll,"Ham & Cheese on a French Roll, PM Sandwiches",440,54,14,24,2,0,1380,3
Panera Bread,Sandwiches,"Frontega Chicken on Focaccia, Half","Frontega Chicken on Focaccia w/ Fresh Basil, Red Onions, Fresh Tomatoes, Sliced Mozzarella, Chipotle Mayonnaise Spread & Smoked Pulled Chicken Breast, Half",430,39,19,24,2,0,960,3
Jason's Deli,Salads,"""Lighter Portion"" Chicken Caesar Salad","""Lighter Portion"" Chicken Caesar Salad w/out Bread, Entree Salads",340,15,20,24,2,0,1000,3
Dominos,Pizza,"Brooklyn Style Crust, Philly Cheese Steak Legends, Extra Large, 16''","Brooklyn Style Crust, Philly Cheese Steak Legends, Extra Large, 16''",510,44,26,24,1,0.5,1110,3
IHOP,Entrees,"Jr Fish, Kids","Jr Fish, Kids",150,7,3,24,3,0,520,2
Pizza Hut,Entrees,"Meaty, P'Zone Pizza","Meaty, P'Zone Pizza",550,61,23,24,2,0.5,1370,2
Panera Bread,Sandwiches,"Asiago Roast Beef on Asiago Cheese Demi, Half","Asiago Roast Beef on Asiago Cheese Demi w/ Black Pepper, Horseradish Sauce, Green Leaf Lettuce, Red Onions, Salt, Fresh Tomatoes, Smoked Cheddar Cheese & Roast Beef, Half",360,29,16,24,2,0,650,2
Whataburger,Sandwiches,Biscuit Sandwich w/ Sausage,"Biscuit Sandwich w/ Sausage, Breakfast",640,34,44,24,1,0,1420,2
Sonic,Sandwiches,Biscuit Sandwich w/ Bacon,"Biscuit Sandwich w/ Bacon, Breakfast",450,30,31,24,1,0,1750,2
Sonic,Sandwiches,Biscuit Sandwich w/ Sausage,"Biscuit Sandwich w/ Sausage, Breakfast",530,30,41,24,1,0,1690,2
Dunkin' Donuts,Sandwiches,Tuna Salad Wrap,"Tuna Salad Wrap, PM Sandwiches",510,25,36,24,1,0,1080,2
Dominos,Toppings & Ingredients,"American Cheese Topping, for Extra Large Pizzas","American Cheese Topping, for Extra Large Pizzas",470,4,39,24,0,1,2290,2
Dairy Queen,Appetizers & Sides,White Cheese Curds,White Cheese Curds,370,2,42,24,0,1.5,1170,2
Friendly's,Entrees,"3 Eggbeaters, Scrambled","3 Eggbeaters, Scrambled, Side; Choice of Adding: Meat, Eggs, Toast",160,2,8,24,0,0,380,2
Steak 'N Shake,Entrees,"Chicken Fingers w/ Fries, 3 Pieces","Chicken Fingers w/ Fries, 3 Pieces",610,59,32,24,5,0,1000,1
Dairy Queen,Entrees,Ultimate Hashbrown Platter,"Ultimate Hashbrown Platter w/ Eggs, Cheddar Cheese, Onion, Salsa, Breakfast",660,45,43,24,5,2.5,1210,1
Chipotle,Toppings & Ingredients,Barbacoa,"Barbacoa, for Burritos, Burrito Bowls, Tacos & Salads",170,2,7,24,0,0,510,1
Long John Silver's,Entrees,Grilled Pacific Salmon,"Grilled Pacific Salmon, Alaskan Pollock & Seafood, 2 Fillets",150,2,5,24,0,0,440,1
Golden Corral,Entrees,Fajita Steak,"Fajita Steak, Hot Buffet",150,1,6,24,0,0,210,1
Ruby Tuesday,Soup,White Bean Chicken Chili,"White Bean Chicken Chili, Ruby Tuesday's Smart Eating Choices",300,37,10,24,10,0,1902,0
Chili's,Appetizers & Sides,Southwestern Eggrolls w/ Avocado Ranch,"Southwestern Eggrolls w/ Avocado Ranch, Appetizer",770,81,39,24,7,0,1780,0
Ruby Tuesday,Salads,Grilled Chicken Salad,"Grilled Chicken Salad, Ruby Tuesday's Smart Eating Choices, Garden Fresh Salads",786,48,28,24,7,0,1057,0
Ruby Tuesday,Sandwiches,Buffalo Chicken Minis,"Buffalo Chicken Minis, Fresh Combinations",783,95,34,24,6,0,1689,0
Olive Garden,Pizza,Caprese Flatbread,Caprese Flatbread,600,46,36,24,5,0,570,0
Chili's,Sandwiches,"Grilled Ham & Swiss Sandwich w/ Fries, Lunch","Grilled Ham & Swiss Sandwich w/ Fries, Lunch Break",670,72,36,24,4,0,2090,0
Olive Garden,Entrees,"Fettuccine Alfredo, Lunch","Fettuccine Alfredo, Lunch",800,69,48,24,4,0,810,0
Ruby Tuesday,Sandwiches,Spicy Fish Tacos,"Spicy Fish Tacos, Fresh Combinations",661,35,48,24,4,0,1486,0
Romano's Macaroni Grill,Entrees,"Fettuccine Alfredo, Kids","Fettuccine Alfredo, Kids",550,45,32,24,3,0,1030,0
TGI Friday's,Sandwiches,"California Club, Half","California Club w/out Sides, 1/2 Sandwich, Combos, Lunch",430,27,26,24,3,0,1340,0
PF Chang's,Entrees,Mandarin Chicken,"Mandarin Chicken, Chicken & Duck, Dinner",245,23,7,24,3,0,1465,0
Chili's,Appetizers & Sides,Triple Dipper Boneless Buffalo Wings w/ Bleu Cheese,"Triple Dipper Boneless Buffalo Wings w/ Bleu Cheese, Appetizer",620,28,46,24,2,0,1880,0
Romano's Macaroni Grill,Entrees,"Chicken Strips w/ Crisp Salad, Kids","Chicken Strips w/ Crisp Salad, Kids",470,22,32,24,2,0,720,0
Applebee's,Sandwiches,Grilled Chicken Sandwich,"Grilled Chicken Sandwich w/out Sides, Kids",230,23,5,24,1,0,560,0
Red Lobster,Appetizers & Sides,"Crispy Calamari & Vegetables, Create Your Own Appetizer Combination","Crispy Calamari & Vegetables, Seaside Starters, Lunch & Dinner; Choice in: Create Your Own Appetizer Combination",760,58,49,24,0,0,1530,0
Red Lobster,Entrees,"Parrot Isle Jumbo Coconut Shrimp, Create Your Own Combination","Parrot Isle Jumbo Coconut Shrimp, Create Your Own Combination, Lunch & Dinner",710,45,48,24,0,0,1490,0
Red Lobster,Entrees,Crunchy Parmesan Ranch Shrimp,"Crunchy Parmesan Ranch Shrimp, 30 Shrimp, Menu Specials",410,25,23,24,0,0,1890,0
Olive Garden,Entrees,Chicken Fingers,"Chicken Fingers, Create a Sampler Portion, Appetizer",330,22,16,24,0,0,930,0
Red Lobster,Entrees,"Walleye, Fried, Lunch","Walleye, Fried, Lunch Classics",300,18,15,24,0,0,500,0
LongHorn Steakhouse,Salads,"Sirloin Bleu Ridge Salad, 1/2 Salad","Sirloin Bleu Ridge Salad, 1/2 Salad, Lunch Combinations",380,8,28,24,0,0.5,1270,0
Red Lobster,Entrees,"Seafood-Stuffed Flounder, Create Your Own Combination","Seafood-Stuffed Flounder, Create Your Own Combination or Lunch Classics",170,5,5,24,0,0,610,0
Red Lobster,Entrees,"Walleye, Blackened, Lunch","Walleye, Blackened, Lunch Classics",150,5,3.5,24,0,0,200,0
Olive Garden,Toppings & Ingredients,"Grilled Chicken, Kids","Grilled Chicken, for Create Your Own Pasta, Kids",110,0,2,24,0,0,410,0
Popeyes,Entrees,"Macaroni & Cheese, Large","Macaroni & Cheese, Signature Sides, Large",600,78,21,24,3,0,1470,0
KFC,Entrees,Extra Crispy Thigh Value Box,Extra Crispy Thigh Value Box,630,45,39,24,2,0,1580,0
O'Charley's,Entrees,"Chicken Tenders, Kids","Chicken Tenders, Kids",340,30,15,24,2,0,1390,0
Qdoba,Toppings & Ingredients,"Shredded Beef, for Mexican Gumbo","Shredded Beef, for Mexican Gumbo, Burritos, Grilled Quesadillas, 3 Cheese Nachos & Mango Salads",190,6,7,24,0,0.5,540,0
Quiznos,Toppings & Ingredients,"Roast Beef, for Large Sandwiches","Roast Beef, for Large Sandwiches",170,4,6,24,0,0,1140,0
Panera Bread,Toppings & Ingredients,"Smoked Pulled Chicken Breast, for Full Frontega Chicken on Focaccia Sandwich","Smoked Pulled Chicken Breast, for Full Frontega Chicken on Focaccia Sandwich",110,0,2,24,0,0,650,0
Friendly's,Toppings & Ingredients,"Burger, Fresh Choice Grilled","Burger, Fresh Choice Grilled, for Build Your Own Burger",250,0,17,24,0,0,520,0
Golden Corral,Entrees,Brazilian Carved Churrasco Steak,"Brazilian Carved Churrasco Steak, Hot Buffet",150,0,6,24,0,0,400,0
Golden Corral,Toppings & Ingredients,Steak Strips,"Steak Strips, Salad Buffet",150,0,6,24,0,0,400,0
Golden Corral,Entrees,"Whole Carved Turkey, White Meat w/ Skin","Whole Carved Turkey, White Meat w/ Skin, Hot Buffet",170,0,7,24,0,0,120,0
Quiznos,Sandwiches,"Chicken Carbonara Sandwich on Wheat Bread, Small","Chicken Carbonara Sandwich on Wheat Bread, Small",520,38.5,26.5,23.5,2,0,1130,7
Quiznos,Sandwiches,"Chicken Carbonara on Garlic Focaccia, Small","Chicken Carbonara on Garlic Focaccia, Small",535,41.5,27.5,23.5,1,0,1110,5
Quiznos,Sandwiches,"Chicken Carbonara Sandwich on Rosemary Parmesan Bread, Small","Chicken Carbonara Sandwich on Rosemary Parmesan Bread, Small",520,37.5,27,23.5,1,0,1090,5
Quiznos,Sandwiches,"Meatball Sub on Italian White, Small","Meatball Sub on Italian White, Small",565,43.5,34.5,23.5,5,0,1205,4
Papa Murphy's,Salads,Club Salad,"Club Salad; Choice of Adding: Dressing & Croutons, Entire Item",280,12.2,16,23.4,5.5,0,962.9,3.7
O'Charley's,Desserts,Brownie Lover's Brownie,Brownie Lover's Brownie,1600,216,73,23,7,0,1310,150
Dairy Queen,Beverages,"Malt, Chocolate, Large","Malt, Chocolate, Large, 635 g",1020,171,32,23,2,1.5,460,147
Dairy Queen,Desserts,"Caramel Toffee Cookie w/ Almonds Blizzard, Large","Caramel Toffee Cookie w/ Almonds Blizzard, Large",1170,184,38,23,1,1.5,1140,147
Dairy Queen,Desserts,"M&M Brownie Blizzard, Large","M&M Brownie Blizzard, Large",1170,181,43,23,4,1.5,630,146
Culver's,Beverages,"Chocolate Malt, Tall","Chocolate Malt, Tall, 562 g",1259,168,54,23,0,0,530,133
Dairy Queen,Desserts,"Caramel Delight Pie Blizzard, Large","Caramel Delight Pie Blizzard, Large",1260,186,48,23,2,1.5,620,132
Dairy Queen,Desserts,"Caramel Brownie Blizzard, Large","Caramel Brownie Blizzard, Large",1180,177,45,23,4,1.5,630,129
Dairy Queen,Beverages,"Malt, Caramel, Large","Malt, Caramel, Large, 635 g",1080,178,31,23,0,1,550,128
Dairy Queen,Beverages,"Malt, Vanilla, Large","Malt, Vanilla, Large, 624 g",950,151,29,23,0,1,410,122
Culver's,Desserts,"Cookie Dough Concrete Mixer, Tall","Cookie Dough Concrete Mixer, Tall",1416,155,78,23,1,3,384,118
Dairy Queen,Beverages,"Royal Shake, Oreo, Large","Royal Shake, Oreo, Large, 617 g",1100,155,44,23,2,1,870,116
Friendly's,Desserts,"Reese's Pieces Sundae, 5 Scoops","Reese's Pieces Sundae, 5 Scoops",1330,152,71,23,4,0,460,112
Dairy Queen,Desserts,"Oreo CheeseQuake Blizzard, Large","Oreo CheeseQuake Blizzard, Large",1140,151,49,23,1,1,840,111
Dairy Queen,Beverages,"Royal Shakes, Caramel CheeseQuake, Large","Royal Shakes, Caramel CheeseQuake, Large, 610 g",1000,142,37,23,0,1,530,105
Dairy Queen,Desserts,"Caramel Nut Roll Blizzard, Medium","Caramel Nut Roll Blizzard, Medium",920,136,34,23,3,1,440,103
Dairy Queen,Beverages,"Malt, Peanut Butter, Medium","Malt, Peanut Butter, Medium, 487 g",1010,111,53,23,3,1,650,84
White Castle,Beverages,"Vanilla Shake, New Jersey Region, Medium","Vanilla Shake, New Jersey Region, Medium, 30 fl oz",620,94,18,23,0,0,660,78
Starbucks,Beverages,"Milk, Whole, Venti","Milk, Whole, Kids' Drinks & Others, Venti, 24 fl oz",450,36,24,23,0,0.5,0,36
California Pizza Kitchen,Salads,"Waldorf Chicken Salad, Half","Waldorf Chicken Salad, Half",650,42,42,23,7,0,972,27
Einstein Bros,Sandwiches,"Chicken Salad, Deli Sandwiches","Chicken Salad, Deli Sandwiches",410,60,10,23,7,0,630,15
Hardee's,Sandwiches,Charbroiled BBQ Chicken Sandwich,Charbroiled BBQ Chicken Sandwich,310,44,6,23,3,0,1070,15
Quiznos,Sandwiches,"Baja Chicken Sandwich on Wheat Bread, Small","Baja Chicken Sandwich on Wheat Bread, Small",580,45,30.5,23,2,0,1530,14
Steak 'N Shake,Burgers,Wisconsin Buttery Burger,Wisconsin Buttery Burger w/out Fries,710,45,49,23,1,1.5,760,14
McDonald's,Salads,Premium Southwest Salad w/ Crispy Chicken,Premium Southwest Salad w/ Crispy Chicken,450,42,21,23,7,0,820,13
Dairy Queen,Burgers,1/4 lb Grillburger w/ Cheese,1/4 lb Grillburger w/ Cheese,540,44,30,23,3,1,1020,13
Church's Chicken,Sandwiches,Spicy Southern Style Chicken Sandwich,Spicy Southern Style Chicken Sandwich,550,50,27,23,2,1,1320,13
Church's Chicken,Sandwiches,Southern Style Chicken Sandwich,Southern Style Chicken Sandwich,450,50,16,23,2,1,1210,13
Einstein Bros,Sandwiches,"Albacore Tuna Salad, Deli Sandwiches","Albacore Tuna Salad, Deli Sandwiches",390,57,9,23,6,0,730,12
Denny's,Soup,"Chili, Bowl","Chili, Bowl",400,42,16,23,5,0.5,2020,12
Zaxby's,Sandwiches,Chicken Salad Sandwich,"Chicken Salad Sandwich w/out Fries or Drink, for Chicken Salad Sandwich Meal",660,29,47,23,2,0,940,12
Quiznos,Sandwiches,"Baja Chicken on Garlic Focaccia, Small","Baja Chicken on Garlic Focaccia, Small",595,48,31.5,23,1,0,1510,12
Quiznos,Sandwiches,"Baja Chicken Sandwich on Rosemary Parmesan Bread, Small","Baja Chicken Sandwich on Rosemary Parmesan Bread, Small",580,44,31,23,1,0,1490,12
Culver's,Sandwiches,BBQ Beef Sandwich,BBQ Beef Sandwich,372,41,14,23,1,1,694,12
Quiznos,Soup,"Chili w/ Crackers, Large","Chili w/ Crackers, Large",430,40,17,23,8,0,1600,11
Quiznos,Soup,"Chili, Large","Chili w/out Crackers, Large",405,36,16.5,23,8,0,1525,11
Arby's,Sandwiches,Super Roast Beef Sandwich,Super Roast Beef Sandwich,430,45,17,23,3,0.5,1060,11
IHOP,Entrees,Belgian Waffle Combo,"Belgian Waffle Combo; Choice of Adding: Strawberry Topping, Blueberry Compote or Cinnamon Apple Compote w/ Whipped Topping or 2 Bacon Strips or 2 Pork Sausage Links",610,50,36,23,2,1,750,11
Einstein Bros,Sandwiches,Nova Lox & Bagel,"Nova Lox & Bagel, Egg Sandwiches",480,62,18,23,3,0,930,10
Pizza Hut,Pizza,"Ham & Pineapple, 6"" Personal Pan Pizza","Ham & Pineapple, 6"" Personal Pan Pizza",550,71,20,23,3,0,1260,9
Arby's,Sandwiches,Beef 'n Cheddar Classic Sandwich,Beef 'n Cheddar Classic Sandwich,440,47,18,23,2,0.5,1290,9
Jason's Deli,Sandwiches,"Ham & Cheese Kidwich on White, Kids","Ham & Cheese Kidwich on White, Kids",370,41,12,23,1,0,1380,9
Subway,Sandwiches,"Veggie Patty, 6""","Veggie Patty, 6""",390,56,7,23,8,0,830,8
