Restaurant ,Category,Item_Name ,Item_Description,Calories,Carbs,Fat,Protein,Fiber,TransFat,Sodium,Sugar
LongHorn Steakhouse,Entrees,"Longhorn Porterhouse, 20 oz","Longhorn Porterhouse, Legendary Steaks, 20 oz",1100,1,79,96,0,3.5,1970,0
Applebee's,Entrees,Riblet & Chicken Tenders Platter w/ Sides,Riblet & Chicken Tenders Platter w/ Sides,1910,159,102,95,10,0,5130,0
Red Lobster,Entrees,King Crab Legs,"King Crab Legs, Fresh Fish Menu; Choice of: Grilled, Broiled, Blackened",700,43,17,94,0,0,4070,0
Zaxby's,Entrees,10 Chicken Fingerz w/ Sauce,10 Chicken Fingerz w/ 2 Portion Cups Zax Sauce,1230,36,80,92,3,0,3780,9
Jason's Deli,Sandwiches,The New York Yankee Sandwich,"The New York Yankee Sandwich w/out Dressing, Made Famous Here",1190,47,69,92,2,0,2270,0
Zaxby's,Entrees,10 Buffalo Fingers,10 Buffalo Fingers w/out Sauce; Choice of Adding: 2 Portion Cups Ranch Sauce,870,25,45,91,2,0,2530,1
Zaxby's,Entrees,10 Chicken Fingers,10 Chicken Fingers; Choice of Adding: 2 Portion Cups of Zax Sauce,870,25,45,91,2,0,2530,1
Applebee's,Appetizers & Sides,Appetizer Sampler,"Appetizer Sampler, Appetizers, As Served",2460,183,160,91,0,2.5,6150,0
Chili's,Entrees,"Memphis Dry Rub Ribs, Full Rack","Memphis Dry Rub Ribs, Full Rack",1660,138,84,90,12,0,4210,0
Chili's,Appetizers & Sides,"Classic Nachos, Beef, 12 Nachos","Classic Nachos, Beef, Appetizer, 12 Nachos",1420,61,91,90,8,0,3010,0
Red Lobster,Entrees,"Cajun Chicken Linguini Alfredo, Full Portion","Cajun Chicken Linguini Alfredo, From the Land & Sea or 4 Course Feast or Lunch Classics, Full Portion, Lunch & Dinner",1450,110,73,90,0,0,3370,0
LongHorn Steakhouse,Entrees,"Outlaw Ribeye, 18 oz","Outlaw Ribeye, Legendary Steaks, 18oz",1070,0,79,90,0,6,1640,0
Chili's,Entrees,"Shiner Bock BBQ Ribs, Full Rack","Shiner Bock BBQ Ribs, Full Rack",1690,152,82,89,8,0,2840,0
Olive Garden,Entrees,"Mixed Grill, All Chicken, Gluten Free","Mixed Grill, All Chicken, Gluten Free Selections",640,27,19,89,7,0,1260,0
TGI Friday's,Entrees,Jack Daniel's Ribs & Shrimp,Jack Daniel's Ribs & Shrimp,1770,176,80,89,6,0,4220,0
Culver's,Entrees,2 Piece Fresh Fried Chicken Meal w/ Sides,"2 Piece Fresh Fried Chicken Meal, Thigh & Breast, w/ Butter, Cole Slaw, Crinkle Cut Fries & Dinner Roll",1618,101,92,88,5,2,3102,15
Bojangles,Entrees,2 Breast Dinner w/ Sides,2 Breast Dinner w/ 1 or 2 Fixin's & Biscuit,1380,77,80,88,2,0,3851,4
Outback Steakhouse,Entrees,Sirloin 12 oz & Grilled Shrimp,Sirloin 12 oz & Grilled Shrimp,739,6,42,88,1,1.6,948,3
Olive Garden,Entrees,"Grilled Lemon-Herb Chicken, Dinner","Grilled Lemon-Herb Chicken, Dinner",830,63,26,88,12,0,2230,0
Chili's,Entrees,"Original Ribs, Full Rack","Original Ribs, Full Rack",1620,135,82,88,8,0,3290,0
Outback Steakhouse,Entrees,"Porterhouse, 20 oz","Porterhouse, 20 oz",1009,4,71,88,0,4.2,574,0
Chili's,Entrees,Classic Ribeye,Classic Ribeye,1280,59,79,87,9,0,3190,0
IHOP,Entrees,12 oz T-Bone Steak & Eggs,"12 oz T-Bone Steak & Eggs, Breakfast Combinations",1220,74,65,86,4,2,2820,13
LongHorn Steakhouse,Entrees,Flo's Filet & Longhorn Salmon,"Flo's Filet & Longhorn Salmon, Legendary Steaks",740,3,43,86,0,1,800,0
LongHorn Steakhouse,Entrees,"Renegade Sirloin, 12 oz","Renegade Sirloin, Legendary Steaks or Lunch Entree, 12 oz",640,0,33,85,0,1,990,0
Boston Market,Entrees,"Rotisserie Chicken, Half Chicken","Rotisserie Chicken, Half Chicken, Individual Meals",640,2,33,84,0,0,1380,1
IHOP,Entrees,Top Sirloin Steak & Eggs,"Top Sirloin Steak & Eggs, Breakfast Combinations",1070,73,49,83,4,1.5,2330,13
Olive Garden,Entrees,"Chicken Parmigiana, Dinner","Chicken Parmigiana, Dinner",1090,79,49,83,27,0,3380,0
Red Lobster,Entrees,New England Lobster & Crab Bake,"New England Lobster & Crab Bake, Signature Combinations, Lunch & Dinner",1030,91,38,83,0,0,6000,0
Red Lobster,Entrees,"Salmon, Full Portion","Salmon, Full Portion, Fresh Fish Menu; Choice of: Grilled, Broiled, Blackened",530,13,17,83,0,0,1350,0
Culver's,Entrees,"Chicken Basket, 2 Pieces, w/ Crinkle Cut Fries","Chicken Basket, 2 Pieces, w/ Crinkle Cut Fries",1271,68,69,83,3,2,2664,0
Denny's,Entrees,"Sweet & Tangy BBQ Chicken w/ Bread, Cheddar Mashed Potatoes & Sweet Petite Corn","Sweet & Tangy BBQ Chicken w/ Bread, Cheddar Mashed Potatoes & Sweet Petite Corn, Dinner",940,90,30,82,4,0,1900,36
Olive Garden,Entrees,"Chicken & Shrimp Carbonara, Dinner","Chicken & Shrimp Carbonara, Dinner",1440,80,88,82,9,0,3000,0
Outback Steakhouse,Entrees,"New York Strip, 14 oz","New York Strip, 14 oz",764,0,49,82,0,2.9,551,0
O'Charley's,Entrees,Steak & 1/2 Rack Baby Back Ribs,"Steak & 1/2 Rack Baby Back Ribs, Classic Combos",1170,38,75,81,2,1.5,3550,26
Outback Steakhouse,Entrees,Sirloin 12 oz & Coconut Shrimp,Sirloin 12 oz & Coconut Shrimp,751,29,36,81,1,1.9,883,15
Zaxby's,Appetizers & Sides,10 Buffalo Wings w/ Celery Sticks & Ranch Sauce,10 Buffalo Wings w/ 6 Celery Sticks & 1 Portion Cup Ranch Sauce,880,4,60,81,1,0,700,4
IHOP,Entrees,16 oz T-Bone Steak,"16 oz T-Bone Steak w/out Sides, Hearty Dinner Favorites",760,40,31,81,7,1,2360,2
O'Charley's,Entrees,Steak & Grilled Atlantic Salmon,"Steak & Grilled Atlantic Salmon, Classic Combos",800,3,50,81,1,1.5,1110,1
Olive Garden,Entrees,"Steak Gorgonzola Alfredo, Dinner","Steak Gorgonzola Alfredo, Dinner",1310,82,73,81,9,0,2190,0
Chili's,Fried Potatoes,Texas Fries w/ Chili & Ranch,"Texas Fries w/ Chili & Ranch, Appetizer",1830,106,120,81,8,0,5610,0
TGI Friday's,Entrees,Jack Daniel's Black Angus Rib-Eye & Grilled Shrimp Scampi,Jack Daniel's Black Angus Rib-Eye & Grilled Shrimp Scampi; Choice of Adding: Sides,1260,107,57,81,2,0,5800,0
Outback Steakhouse,Entrees,"Ribeye, 14 oz","Ribeye, 14 oz",762,0,49,81,0,3.9,567,0
IHOP,Entrees,10 oz T-Bone Steak & Eggs,"10 oz T-Bone Steak & Eggs, Breakfast Combinations",1200,76,64,80,4,2,2450,14
O'Charley's,Appetizers & Sides,Top Shelf Combo Appetizer,"Top Shelf Combo Appetizer w/ Spicy Jack Wedges, Chicken Tenders & Overloaded Potato Skins",1894,106,131,80,3,3,4705,9
Denny's,Entrees,Pot Roast Skillet,Pot Roast Skillet,880,32,48,80,5,0,2100,3
Zaxby's,Appetizers & Sides,10 Chicken Wings,10 Chicken Wings,670,1,40,80,1,0,300,1
Olive Garden,Entrees,"Stuffed Chicken Marsala, Dinner","Stuffed Chicken Marsala, Dinner",800,40,36,80,6,0,2830,0
LongHorn Steakhouse,Entrees,"Prime Rib w/ Au Jus, 12 oz","Prime Rib w/ Au Jus, 12 oz, Legendary Steaks",750,0,46,80,0,3,1160,0
Zaxby's,Entrees,"Chicken Finger Plate, Large","Chicken Finger Plate w/ 7 Chicken Fingers, 8 oz Crinkle Fries, 2 Pieces Texas Toast, 2 Portion Cups Zax Sauce & Cole Slaw, Large",1773,129.2,105.3,78,8.8,0,4218,24
California Pizza Kitchen,Entrees,Asparagus & Spinach Spaghettini w/ Grilled Chicken Breast,Asparagus & Spinach Spaghettini w/ Grilled Chicken Breast,1340,120,60,78,10,0,1629,7
O'Charley's,Entrees,Steak & Chicken Tenders,"Steak & Chicken Tenders, Classic Combos",1200,53,75,78,3,2,3220,6
Applebee's,Entrees,Steak & Honey BBQ Chicken Combo,Steak & Honey BBQ Chicken Combo w/out Sides,600,37,15,78,1,0.5,2160,0
LongHorn Steakhouse,Fried Potatoes,Western Cheese Fries,"Western Cheese Fries, Starters",1730,138,96,78,0,2,4940,0
LongHorn Steakhouse,Entrees,Fire-Grilled T-Bone,"Fire-Grilled T-Bone, Legendary Steaks, 16 oz",830,1,57,78,0,3,1710,0
Checker's Drive-In/Rallys,Appetizers & Sides,"Classic Garlic Parmesan Wings, 10 Pieces","Classic Garlic Parmesan Wings, 10 Pieces",960,2,70,78,0,0,1660,0
O'Charley's,Entrees,"O'Charley's Baby Back Ribs, 1 Full Rack","O'Charley's Baby Back Ribs, 1 Full Rack",1480,76,96,77,3,0,5260,52
California Pizza Kitchen,Pizza,Tricolore Salad Pizza w/ Grilled Chicken Breast on Crispy Thin Crust,Tricolore Salad Pizza w/ Grilled Chicken Breast on Crispy Thin Crust,1240,128,45,77,8,0,2266,23
Culver's,Entrees,3 Piece North Atlantic Cod Filet Meal w/ Sides,"3 Piece North Atlantic Cod Filet Meal w/ Cole Slaw, Crinkle Cut Fries, Dinner Roll & Tartar Sauce",1984,108,132,77,8,2,2444,18
Zaxby's,Entrees,Wings & Things,"Wings & Things w/ 5 Chicken Wings, 5 oz Crinkle Fries, 4 Celery Sticks, 1 Portion Cup Ranch Sauce, 3 Chicken Fingers, 1 Portion Cup Zax Sauce & 1 Piece Texas Toast",1490,85,92,77,7,0,2675,9
Checker's Drive-In/Rallys,Appetizers & Sides,"Classic Medium Buffalo Wings, 10 Pieces","Classic Medium Buffalo Wings, 10 Pieces",670,5,37,77,0,0.2,6840,1
Applebee's,Entrees,"Sizzling Skillet Fajitas, Steak, w/ Sides","Sizzling Skillet Fajitas, Steak, w/ Sides, Sizzling Entrees",1360,150,50,77,11,1,5410,0
Applebee's,Entrees,"Sizzling Skillet Fajitas, Chicken, w/ Sides","Sizzling Skillet Fajitas, Chicken, w/ Sides, Sizzling Entrees",1320,147,47,77,11,1,4650,0
Applebee's,Entrees,Chicken Parmesan Stack w/ Sides,Chicken Parmesan Stack w/ Sides,1450,126,72,77,9,2,3760,0
Romano's Macaroni Grill,Entrees,Parmesan Crusted Veal Chop,Parmesan Crusted Veal Chop,1660,100,107,77,7,1,1640,0
Romano's Macaroni Grill,Entrees,Fettuccine Alfredo w/ Chicken,"Fettuccine Alfredo w/ Chicken, Italian Classics",1470,94,88,77,6,0.5,2560,0
Applebee's,Burgers,Quesadilla Burger,Quesadilla Burger w/out Fries or Sides,1430,43,106,77,5,2,3400,0
Applebee's,Entrees,"Sizzling Skillet Fajitas, Combo, w/ Sides","Sizzling Skillet Fajitas, Combo, w/ Sides, Sizzling Entrees",1340,149,49,77,0,0,5860,0
Red Lobster,Entrees,Center-Cut NY Strip Steak,"Center-Cut NY Strip Steak, Lunch & Dinner",940,55,46,77,0,0,2270,0
Culver's,Entrees,"Chicken w/ Thigh, Breast","Chicken w/ Thigh, Breast for Chicken Basket, 2 Piece or Fresh Fried Chicken Meal, 2 Piece",880,31,50,77,0,1,2280,0
Checker's Drive-In/Rallys,Appetizers & Sides,"Classic Asian Kick Wings, 10 Pieces","Classic Asian Kick Wings, 10 Pieces",780,38,34,76,0,0,1920,36
Checker's Drive-In/Rallys,Appetizers & Sides,"Classic Honey BBQ Wings, 10 Pieces","Classic Honey BBQ Wings, 10 Pieces",780,36,34,76,0,0,1620,34
Denny's,Entrees,Fit Fare Sweet & Tangy BBQ Chicken w/ Broccoli & Mashed Potato & Gravy,"Fit Fare Sweet & Tangy BBQ Chicken w/ Broccoli & Mashed Potato & Gravy, Dinner",650,55,15,76,4,0,1880,30
Subway,Sandwiches,"The Big Philly Cheesesteak, Footlong","The Big Philly Cheesesteak w/ Monterey Cheddar w/out Sauce, Footlong",1000,102,34,76,12,2,2620,16
Outback Steakhouse,Entrees,No Rules Parmesan Pasta w/ Grilled Chicken,No Rules Parmesan Pasta w/ Grilled Chicken,1303,77,69,76,6,0,1879,2
Romano's Macaroni Grill,Entrees,Pan Roasted Pork Chop,"Pan Roasted Pork Chop, Carne",1370,58,91,76,7,1,1900,0
TGI Friday's,Entrees,Jack Daniel's Ribs,"Jack Daniel's Ribs, Ribs",1570,154,73,76,4,0,3300,0
Romano's Macaroni Grill,Entrees,Chicken Under a Brick,"Chicken Under a Brick, Pollo",1440,24,115,76,3,1,3640,0
TGI Friday's,Entrees,Jack Daniel's Black Angus Sirloin & 1/2 Rack of Ribs,"Jack Daniel's Black Angus Sirloin & 1/2 Rack of Ribs w/out Sides, Jack Daniel's Grill",1110,130,34,76,2,0,3780,0
Checker's Drive-In/Rallys,Appetizers & Sides,"Classic Extra Hot Wings, 10 Pieces","Classic Extra Hot Wings, 10 Pieces",710,4,42,76,1,0,2960,0
O'Charley's,Salads,Southern Fried Chicken Salad,Southern Fried Chicken Salad w/out Dressing,1120,72,61,75,7,1,3670,6
Ruby Tuesday,Appetizers & Sides,"Shrimp Fondue, Feature Menu","Shrimp Fondue, Feature Menu",1225,95,75,75,8,0,1667,0
TGI Friday's,Entrees,Baby Back Ribs,Baby Back Ribs,1280,80,72,75,4,0,3230,0
Applebee's,Entrees,Shrimp 'n Parmesan Sirloin,Shrimp 'n Parmesan Sirloin w/out Sides,590,5,30,75,0,0.5,2820,0
LongHorn Steakhouse,Entrees,"New York Strip/Kansas City Strip, 14 oz","New York Strip/Kansas City Strip, Legendary Steaks, 14 oz",950,2,72,75,0,4,650,0
Outback Steakhouse,Entrees,"Ribeye, 13 oz","Ribeye, 13 oz, Signature Steaks",708,0,45,75,0,3.6,526,0
O'Charley's,Entrees,12 Pepper Crispy 1/2 Chicken,12 Pepper Crispy 1/2 Chicken,1642,41.07,127.9,74.71,2.84,1.74,4195,8.1
Outback Steakhouse,Entrees,Alice Springs Chicken,Alice Springs Chicken,759,13,47,74,1,0.4,1626,10
IHOP,Entrees,Chicken Fajita Omelette,"Chicken Fajita Omelette w/out Sides, Hearty Omelette",950,19,64,74,3,1,1880,7
IHOP,Burgers,Monster Cheeseburger w/ Beef Patty,"Monster Cheeseburger w/ Beef Patty w/out Sides, Soup or Salad",1180,47,79,74,2,4,1130,7
Chili's,Entrees,"Classic Sirloin, 10 oz","Classic Sirloin, 10 oz",1030,60,56,74,9,0,2860,0
Applebee's,Entrees,Blackened Steak Penne,"Blackened Steak Penne, Pasta, As Served",1280,112,60,74,8,1.5,3740,0
Chili's,Fried Potatoes,Texas Cheese Fries w/ Ranch,"Texas Cheese Fries w/ Ranch, Appetizer",1710,101,112,74,8,0,5280,0
Ruby Tuesday,Entrees,Chicken Trio,"Chicken Trio, Fresh All-Natural Chicken",896,74,35,74,5,0,2632,0
O'Charley's,Entrees,Louisiana Sirloin,Louisiana Sirloin,680,3,40,74,1,0,1220,0
Culver's,Toppings & Ingredients,"Chocolate Custard Mix, for Medium Reese's Concrete Mixer","Chocolate Custard Mix, for Medium Reese's Concrete Mixer",735,87.5,35,73.5,3.5,0,269.5,15.4
Dominos,Pizza,"Domino's American Legends, Small","Domino's American Legends, Small; Choice of: Cali Chicken Bacon Ranch, BBQ Chicken, Buffalo Chicken Fiery Hawaiian, Honolulu Hawaiian, Philly Cheese Steak, Pacific Veggie",1850,173,103,73,10,2,4550,26
Dominos,Pizza,"Feast Pizzas, Hand Tossed, Small","Feast Pizzas, Hand Tossed, Small: America's Favorite Deluxe, Bacon Cheeseburger, ExtravaganZZa, MeatZZa, Ultimate Pepperoni",1850,173,103,73,10,2,4550,26
Denny's,Entrees,T-Bone Steak & Breaded Shrimp w/ Bread,"T-Bone Steak & Breaded Shrimp w/ Bread w/out Choices, Dinner",1050,56,59,73,4,1.5,2900,11
O'Charley's,Entrees,Tuscan Chicken,Tuscan Chicken,1301,97,67,73,6,7,2340,8
Outback Steakhouse,Entrees,No Rules Parmesan Pasta w/ Grilled Chicken & Scallops,No Rules Parmesan Pasta w/ Grilled Chicken & Scallops,1313,81,70,73,6,0,2026,6
Olive Garden,Entrees,"Mixed Grill, Dinner","Mixed Grill, Dinner",830,72,28,73,10,0,1840,0
Romano's Macaroni Grill,Entrees,Mama's Trio,"Mama's Trio, Pasta",1430,77,99,73,9,1,3430,0
Chili's,Entrees,Cajun Pasta w/ Grilled Chicken,Cajun Pasta w/ Grilled Chicken,1310,115,62,73,8,0,4660,0
Chili's,Entrees,Bacon Ranch Chicken Quesadilla,Bacon Ranch Chicken Quesadilla,1450,68,100,73,4,0,3500,0
Outback Steakhouse,Entrees,"Outback Special, 12 oz","Outback Special, 12 oz",508,0,25,73,0,1.4,452,0
Quiznos,Sandwiches,"Steakhouse Beef Dip on Garlic Focaccia w/ Dressing, Large","Steakhouse Beef Dip on Garlic Focaccia w/ Dressing, Large",1160,106,48,72,4,1,3130,12
Wendy's,Burgers,"Dave's Hot 'n Juicy 3/4 lb, Triple","Dave's Hot 'n Juicy 3/4 lb, Triple; Choice of Adding: Applewood Smoked Bacon & Mustard",1060,42,67,72,3,4,2020,10
Bob Evans,Entrees,"Citrus Herb Chicken, A la Carte, 2 Piece","Citrus Herb Chicken, A la Carte, 2 Piece",601,7,32,72,1,0,3588,1
Romano's Macaroni Grill,Entrees,Penne Rustica,"Penne Rustica, Pasta",1160,110,49,72,7,1,2490,0
TGI Friday's,Appetizers & Sides,Buffalo Wings w/ Sauce,"Buffalo Wings; Choice of Sauce, Appetizers Individual",1190,101,87,72,7,0,4450,0
Ruby Tuesday,Entrees,Tilapia Trio,"Tilapia Trio, Premium Seafood",987,66,48,72,3,0,2597,0
LongHorn Steakhouse,Entrees,"Sierra Chicken, Dinner","Sierra Chicken, Dinner Entree",410,2,12,72,0,0,1240,0
LongHorn Steakhouse,Entrees,"Ribeye, 12 oz","Ribeye, Legendary Steaks, 12 oz",910,0,68,72,0,3,1260,0
O'Charley's,Entrees,Your Favorite Ribeye Steak,Your Favorite Ribeye Steak,810,0,55,72,0,1.5,960,0
Outback Steakhouse,Entrees,Teriyaki Filet Medallions,Teriyaki Filet Medallions,681,32,32,71,10,2.1,2708,22
IHOP,Entrees,Colorado Omelette,"Colorado Omelette w/out Sides, Hearty Omelette",1110,23,81,71,3,1,2360,10
Jason's Deli,Sandwiches,Bird to the Wise,"Bird to the Wise w/out Dressing, Specialty Sandwiches",1390,49,102,71,0,0,1980,7
Outback Steakhouse,Salads,"Caesar Salad, Chicken","Caesar Salad, Chicken",707,19,41,71,6,0,1508,4
Outback Steakhouse,Entrees,Seafood Mixed Grill,Seafood Mixed Grill,751,28,39,71,2,0.2,1212,4
Outback Steakhouse,Entrees,No Rules Parmesan Pasta w/ Grilled Chicken & Grilled Shrimp,No Rules Parmesan Pasta w/ Grilled Chicken & Grilled Shrimp,1304,78,71,71,6,0,1965,2
Applebee's,Entrees,Lemon Shrimp Fettuccine,"Lemon Shrimp Fettuccine, Pasta, As Served",1090,101,46,71,9,1.5,5100,0
Applebee's,Appetizers & Sides,"Boneless Wings, Honey BBQ","Boneless Wings, Honey BBQ, Appetizers, As Served; Choice of Adding Dipping Sauce: Ranch or Blue Cheese",1250,116,55,71,8,0.5,3060,0
